benchmark kvrocks-topling
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          527.17          ---          ---        19.46656        17.15100        59.90300       132.09500      1075.03 
Gets        52634.09     52631.70         2.39        18.78902        16.76700        55.55100        81.40700    107173.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53161.26     52631.70         2.39        18.79574        16.76700        55.55100        81.91900    108248.87 


Request Latency Distribution
Type     <= msec         Percent
SADD    419.839       99.932
SADD    421.887       99.937
SADD    425.983       99.941
SADD    430.079       99.946
SADD    436.223       99.951
SADD    438.271       99.954
SADD    440.319       99.956
SADD    442.367       99.958
SADD    446.463       99.961
SADD    448.511       99.963
SADD    450.559       99.966
SADD    454.655       99.968
SADD    458.751       99.971
SADD    460.799       99.973
SADD    462.847       99.976
SADD    462.847       99.977
SADD    466.943       99.978
SADD    468.991       99.979
SADD    468.991       99.980
SADD    471.039       99.982
SADD    473.087       99.983
SADD    477.183       99.984
SADD    481.279       99.985
SADD    485.375       99.987
SADD    487.423       99.988
SADD    487.423       99.988
SADD    489.471       99.989
SADD    489.471       99.990
SADD    491.519       99.990
SADD    491.519       99.991
SADD    493.567       99.991
SADD    495.615       99.992
SADD    503.807       99.993
SADD    511.999       99.993
SADD    524.287       99.994
SADD    536.575       99.994
SADD    544.767       99.995
SADD    552.959       99.995
SADD    557.055       99.995
SADD    557.055       99.995
SADD    561.151       99.996
SADD    569.343       99.996
SADD    577.535       99.996
SADD    581.631       99.997
SADD    585.727       99.997
SADD    585.727       99.997
SADD    589.823       99.997
SADD    589.823       99.997
SADD    593.919       99.998
SADD    593.919       99.998
SADD    593.919       99.998
SADD    593.919       99.998
SADD    593.919       99.998
SADD    598.015       99.998
SADD    602.111       99.998
SADD    602.111       99.999
SADD    610.303       99.999
SADD    610.303       99.999
SADD    610.303       99.999
SADD    610.303       99.999
SADD    614.399       99.999
SADD    614.399       99.999
SADD    614.399       99.999
SADD    614.399       99.999
SADD    618.495       99.999
SADD    618.495       99.999
SADD    618.495       99.999
SADD    618.495       99.999
SADD    618.495       99.999
SADD    618.495       99.999
SADD    618.495       99.999
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    618.495      100.000
SADD    622.591      100.000
SADD    622.591      100.000
---
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
==================================================================================================
Type         Ops/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------
Hsets        4207.68       224.91175       205.82300       548.86300       782.33500     17039.71 
Totals       4207.68       224.91175       205.82300       548.86300       782.33500     17039.71 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
HSET      1.871        0.000
HSET    102.911        5.000
HSET    119.807       10.000
HSET    133.119       15.000
HSET    145.407       20.000
HSET    155.647       25.000
HSET    165.887       30.000
HSET    176.127       35.000
HSET    185.343       40.000
HSET    195.583       45.000
HSET    205.823       50.000
HSET    211.967       52.500
HSET    217.087       55.000
HSET    223.231       57.500
HSET    229.375       60.000
HSET    235.519       62.500
HSET    242.687       65.000
HSET    249.855       67.500
HSET    257.023       70.000
HSET    266.239       72.500
HSET    274.431       75.000
HSET    278.527       76.250
HSET    284.671       77.500
HSET    288.767       78.750
HSET    294.911       80.000
HSET    299.007       81.250
HSET    305.151       82.500
HSET    311.295       83.750
HSET    319.487       85.000
HSET    327.679       86.250
HSET    335.871       87.500
HSET    339.967       88.125
HSET    344.063       88.750
HSET    348.159       89.375
HSET    354.303       90.000
HSET    360.447       90.625
HSET    364.543       91.250
HSET    372.735       91.875
HSET    378.879       92.500
HSET    385.023       93.125
HSET    393.215       93.750
HSET    397.311       94.062
HSET    403.455       94.375
HSET    407.551       94.688
HSET    413.695       95.000
HSET    417.791       95.312
HSET    423.935       95.625
HSET    430.079       95.938
HSET    438.271       96.250
HSET    444.415       96.562
HSET    452.607       96.875
HSET    456.703       97.031
