benchmark kvrocks
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          518.79          ---          ---        19.82097        17.40700        60.92700       134.14300      1057.88 
Gets        51797.27     51794.89         2.38        19.09143        17.02300        56.57500        82.43100    105356.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52316.06     51794.89         2.38        19.09866        17.02300        56.57500        82.94300    106414.50 


Request Latency Distribution
Type     <= msec         Percent
SADD    495.615       99.995
SADD    497.663       99.996
SADD    497.663       99.996
SADD    499.711       99.996
SADD    501.759       99.997
SADD    503.807       99.997
SADD    505.855       99.997
SADD    511.999       99.997
SADD    518.143       99.997
SADD    518.143       99.998
SADD    520.191       99.998
SADD    522.239       99.998
SADD    524.287       99.998
SADD    528.383       99.998
SADD    528.383       99.998
SADD    528.383       99.998
SADD    528.383       99.999
SADD    528.383       99.999
SADD    528.383       99.999
SADD    532.479       99.999
SADD    532.479       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    536.575       99.999
SADD    544.767      100.000
SADD    544.767      100.000
SADD    544.767      100.000
SADD    544.767      100.000
SADD    544.767      100.000
SADD    544.767      100.000
SADD    544.767      100.000
SADD    548.863      100.000
SADD    548.863      100.000
SADD    557.055      100.000
SADD    557.055      100.000
SADD    561.151      100.000
SADD    569.343      100.000
SADD    569.343      100.000
SADD    569.343      100.000
SADD    569.343      100.000
SADD    569.343      100.000
SADD    569.343      100.000
SADD    573.439      100.000
SADD    573.439      100.000
SADD    573.439      100.000
SADD    589.823      100.000
SADD    589.823      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    614.399      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    638.975      100.000
SADD    684.031      100.000
SADD    684.031      100.000
---
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
==================================================================================================
Type         Ops/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------
Hsets        4482.00       210.46223       194.55900       522.23900       794.62300     18151.69 
